time,month,Cindex,Eindex
1904-02-15 12:00:00.000000000,2,-0.43553898,-0.527691
1904-03-16 12:00:00.000000000,3,0.15445371,-1.1200747
1904-04-16 00:00:00.000000000,4,0.16364513,-1.000502
1904-05-16 12:00:00.000000000,5,-0.6095875,0.57592094
1904-06-16 00:00:00.000000000,6,-0.166245,0.66754955
1904-07-16 12:00:00.000000000,7,0.20822756,1.3227111
1904-08-16 12:00:00.000000000,8,-0.19856325,1.7674304
1904-09-16 00:00:00.000000000,9,0.21637984,0.6245272
1904-10-16 12:00:00.000000000,10,0.706498,1.2939752
1904-11-16 00:00:00.000000000,11,-0.32946798,1.4342358
1904-12-16 12:00:00.000000000,12,1.321401,0.60763776
1905-01-16 12:00:00.000000000,1,1.0082116,0.83413774
1905-02-15 00:00:00.000000000,2,1.7703098,-0.13591482
1905-03-16 12:00:00.000000000,3,1.1245303,0.94102544
1905-04-16 00:00:00.000000000,4,0.8769844,0.012312907
1905-05-16 12:00:00.000000000,5,0.60272,2.0496347
1905-06-16 00:00:00.000000000,6,0.41839635,1.577919
1905-07-16 12:00:00.000000000,7,1.4223636,0.88678133
1905-08-16 12:00:00.000000000,8,1.4586031,1.3873972
1905-09-16 00:00:00.000000000,9,1.7127886,1.1471138
1905-10-16 12:00:00.000000000,10,0.9944208,1.2143389
1905-11-16 00:00:00.000000000,11,1.0001084,1.4559002
1905-12-16 12:00:00.000000000,12,1.1263367,0.7260242
1906-01-16 12:00:00.000000000,1,0.913996,0.9123221
1906-02-15 00:00:00.000000000,2,1.047063,0.5956318
1906-03-16 12:00:00.000000000,3,2.32513,-0.6140196
1906-04-16 00:00:00.000000000,4,1.4466212,-0.29898274
