conflict_id,year,latitude,longitude,coder
412,1998,42.69800186,20.89800072,Helge Holtermann
413,1977,-9999,-9999,Tyler
413,1980,-9999,-9999,Tyler
413,1983,7.473841,40.625567,Tyler
413,1994,9.13306,42.07833,Tyler
413,1998,4.666600227,40,Helge Holtermann
413,2015,8,39,Tyler
413,2019,10.35028,39.93626,Tyler
414,1999,42.72999954,47.20000076,Helge Holtermann
415,1999,41.33000183,69.25,Helge Holtermann
415,2004,41.31666565,69.25,Helge Holtermann
416,2001,4.366700172,18.58329964,Helge Holtermann
416,2006,10.28333282,22.78333282,Helge Holtermann
416,2009,8.409167,20.653056,Tyler
416,2017,4.838954,23.117389,Tyler
417,2001,42.00999832,20.96999931,Helge Holtermann
418,2001,38.88999939,-77.08000183,Helge Holtermann
418,2019,33.7923,68.9473,Tyler
419,2002,8,-5,Helge Holtermann
419,2011,7.12143,-8.14565,Tyler
420,2003,31.057993,46.257262,Tyler
421,1989,26.58329964,91.80000305,Helge Holtermann
421,1994,26.316667,91,Tyler
421,1996,26.4,90.266667,Tyler
421,2001,26.416667,91.433333,Tyler
421,2009,26.633333,92.8,Tyler
421,2013,26.572609,90.264945,Tyler
422,1997,20.60000038,99.80000305,Helge Holtermann
423,2003,6.579999924,101.0800018,Helge Holtermann
424,2004,11.30000019,13.68999958,Helge Holtermann
425,2004,4.847777843,6.889444351,Helge Holtermann
426,1990,33.41659927,35.33330154,Helge Holtermann
426,2006,33.08330154,35.28329849,Helge Holtermann
426,2023,33.099989,35.288539,Tyler
427,1978,-1.252331,31.424124,Tyler
428,1975,27.857805,-12.384727,Tyler
429,2007,-5.85,13.05,Johan Dittrich Hallberg
429,2017,-4.329722,15.315,Tyler
429,2020,-5.7,14.033333,Tyler
430,1991,18,8.5,Helge Holtermann
430,1997,15.6267004,7.89139986,Helge Holtermann
430,2007,16.97,7.99,Johan Dittrich Hallberg
430,2021,12.7555,2.17687,Tyler
431,1979,34.341892,62.198468,Tyler
432,2007,42.92,47.46,Johan Dittrich Hallberg
434,2008,24.63,94.02,Johan Dittrich Hallberg
435,2008,12.7125,43.136667,Tyler
436,1977,-9999,-9999,Tyler
437,1981,6.635255,38.563301,Tyler
437,1983,6.635255,38.563301,Tyler
439,2009,22,98,Tyler
439,2014,23.416667,98.65,Tyler
439,2017,23.5833,98.5,Tyler
439,2021,24.099889,98.312316,Tyler
439,2023,23.5833,98.5,Tyler
440,1973,16.865828,96.157124,Tyler
442,2010,16.605592,-4.459817,Tyler
